,ATL,AUS,BNA,BOS,BWI,CLT,DCA,DEN,DFW,DTW,EWR,FLL,IAD,IAH,JFK,LAS,LAX,LGA,MCO,MDW,MIA,MSP,ORD,PHL,PHX,SAN,SEA,SFO,SLC,TPA
in_degree,29.0,28.0,29.0,29.0,24.0,29.0,26.0,29.0,29.0,29.0,25.0,28.0,26.0,29.0,25.0,28.0,28.0,17.0,28.0,26.0,28.0,29.0,28.0,25.0,28.0,26.0,28.0,28.0,28.0,28.0
out_degree,29.0,28.0,29.0,29.0,24.0,29.0,26.0,29.0,29.0,29.0,25.0,28.0,26.0,29.0,25.0,28.0,28.0,17.0,29.0,26.0,28.0,29.0,28.0,25.0,28.0,26.0,28.0,28.0,28.0,27.0
weighted_in_degree,12518.0,5292.0,5825.0,8398.0,4342.0,7341.0,5674.0,10915.0,9603.0,6305.0,6563.0,4684.0,3427.0,6977.0,6265.0,8650.0,10719.0,6573.0,8308.0,3996.0,5840.0,5691.0,10841.0,5148.0,7390.0,5083.0,7470.0,7839.0,4925.0,4537.0
weighted_out_degree,12575.0,5295.0,5832.0,8448.0,4334.0,7368.0,5670.0,10895.0,9581.0,6315.0,6510.0,4633.0,3436.0,6962.0,6286.0,8634.0,10783.0,6523.0,8234.0,3979.0,5757.0,5702.0,10878.0,5163.0,7395.0,5150.0,7484.0,7855.0,4931.0,4531.0
betweenness_centrality,0.003276878027596155,0.001472449359577224,0.003276878027596155,0.003276878027596155,0.0004275659571226074,0.003276878027596155,0.0021193037178479333,0.003276878027596155,0.003276878027596155,0.003276878027596155,0.0005339825290564206,0.003188911806625008,0.002119104641561901,0.003276878027596155,0.0006410718415430346,0.001472449359577224,0.001472449359577224,0.0003268333563900067,0.00318200482927468,0.002347335306449237,0.003188911806625008,0.003276878027596155,0.002976890658643269,0.0005301932149222791,0.001472449359577224,0.0010219709968050082,0.001472449359577224,0.001472449359577224,0.001472449359577224,0.0028678075323187633
closeness_centrality,1.0,0.9666666666666667,1.0,1.0,0.8529411764705882,1.0,0.90625,1.0,1.0,1.0,0.8787878787878788,0.9666666666666667,0.90625,1.0,0.8787878787878788,0.9666666666666667,0.9666666666666667,0.7073170731707317,0.9666666666666667,0.90625,0.9666666666666667,1.0,0.9666666666666667,0.8787878787878788,0.9666666666666667,0.90625,0.9666666666666667,0.9666666666666667,0.9666666666666667,0.9666666666666667
in_degree_centrality,1.0,0.9655172413793103,1.0,1.0,0.8275862068965517,1.0,0.896551724137931,1.0,1.0,1.0,0.8620689655172413,0.9655172413793103,0.896551724137931,1.0,0.8620689655172413,0.9655172413793103,0.9655172413793103,0.5862068965517241,0.9655172413793103,0.896551724137931,0.9655172413793103,1.0,0.9655172413793103,0.8620689655172413,0.9655172413793103,0.896551724137931,0.9655172413793103,0.9655172413793103,0.9655172413793103,0.9655172413793103
out_degree_centrality,1.0,0.9655172413793103,1.0,1.0,0.8275862068965517,1.0,0.896551724137931,1.0,1.0,1.0,0.8620689655172413,0.9655172413793103,0.896551724137931,1.0,0.8620689655172413,0.9655172413793103,0.9655172413793103,0.5862068965517241,1.0,0.896551724137931,0.9655172413793103,1.0,0.9655172413793103,0.8620689655172413,0.9655172413793103,0.896551724137931,0.9655172413793103,0.9655172413793103,0.9655172413793103,0.9310344827586207
