Airport,Initial_z_score,Delay_Score,Datetime
ATL,0,0.0,2023-06-01 04:00:00
AUS,0,0.0,2023-06-01 04:00:00
BNA,0,0.0,2023-06-01 04:00:00
BOS,0,0.0,2023-06-01 04:00:00
BWI,0,0.0,2023-06-01 04:00:00
CLT,0,0.0,2023-06-01 04:00:00
DCA,0,0.0,2023-06-01 04:00:00
DEN,0,0.0,2023-06-01 04:00:00
DFW,0,0.0,2023-06-01 04:00:00
DTW,0,0.0,2023-06-01 04:00:00
EWR,0,0.0,2023-06-01 04:00:00
FLL,0,0.0,2023-06-01 04:00:00
IAD,0,0.0,2023-06-01 04:00:00
IAH,0,0.0,2023-06-01 04:00:00
JFK,0,0.0,2023-06-01 04:00:00
LAS,0,0.0,2023-06-01 04:00:00
LAX,0,0.0,2023-06-01 04:00:00
LGA,0,0.0,2023-06-01 04:00:00
MCO,0,0.0,2023-06-01 04:00:00
MDW,0,0.0,2023-06-01 04:00:00
MIA,0,0.0,2023-06-01 04:00:00
MSP,0,0.0,2023-06-01 04:00:00
ORD,0,0.0,2023-06-01 04:00:00
PHL,0,0.0,2023-06-01 04:00:00
PHX,0,0.0,2023-06-01 04:00:00
SAN,0,0.0,2023-06-01 04:00:00
SEA,0,0.0,2023-06-01 04:00:00
SFO,0,0.0,2023-06-01 04:00:00
SLC,0,0.0,2023-06-01 04:00:00
TPA,0,0.0,2023-06-01 04:00:00
ATL,0,0.0,2023-06-01 05:00:00
AUS,0,0.0,2023-06-01 05:00:00
BNA,0,0.0,2023-06-01 05:00:00
BOS,0,0.0,2023-06-01 05:00:00
BWI,0,0.0,2023-06-01 05:00:00
CLT,0,0.0,2023-06-01 05:00:00
DCA,0,0.0,2023-06-01 05:00:00
DEN,0,0.0,2023-06-01 05:00:00
DFW,0,0.0,2023-06-01 05:00:00
DTW,0,0.0,2023-06-01 05:00:00
EWR,0,0.0,2023-06-01 05:00:00
FLL,0,0.0,2023-06-01 05:00:00
IAD,0,0.0,2023-06-01 05:00:00
IAH,0,0.0,2023-06-01 05:00:00
JFK,0,0.0,2023-06-01 05:00:00
LAS,0,0.0,2023-06-01 05:00:00
LAX,0,0.0,2023-06-01 05:00:00
LGA,0,0.0,2023-06-01 05:00:00
MCO,0,0.0,2023-06-01 05:00:00
MDW,0,0.0,2023-06-01 05:00:00
MIA,0,0.0,2023-06-01 05:00:00
MSP,0,0.0,2023-06-01 05:00:00
ORD,0,0.0,2023-06-01 05:00:00
PHL,0,0.0,2023-06-01 05:00:00
PHX,0,0.0,2023-06-01 05:00:00
SAN,0,0.0,2023-06-01 05:00:00
SEA,0,0.0,2023-06-01 05:00:00
SFO,0,0.0,2023-06-01 05:00:00
SLC,0,0.0,2023-06-01 05:00:00
TPA,0,0.0,2023-06-01 05:00:00
ATL,0,0.0,2023-06-01 06:00:00
AUS,0,0.0,2023-06-01 06:00:00
BNA,0,0.0,2023-06-01 06:00:00
BOS,0,0.0,2023-06-01 06:00:00
BWI,0,0.0,2023-06-01 06:00:00
CLT,0,0.0,2023-06-01 06:00:00
DCA,0,0.0,2023-06-01 06:00:00
DEN,0,0.0,2023-06-01 06:00:00
DFW,0,0.0,2023-06-01 06:00:00
DTW,0,0.0,2023-06-01 06:00:00
EWR,0,0.0,2023-06-01 06:00:00
FLL,0,0.0,2023-06-01 06:00:00
IAD,0,0.0,2023-06-01 06:00:00
IAH,0,0.0,2023-06-01 06:00:00
JFK,0,0.0,2023-06-01 06:00:00
LAS,0,0.0,2023-06-01 06:00:00
LAX,0,0.0,2023-06-01 06:00:00
LGA,0,0.0,2023-06-01 06:00:00
MCO,0,0.0,2023-06-01 06:00:00
MDW,0,0.0,2023-06-01 06:00:00
MIA,0,0.0,2023-06-01 06:00:00
MSP,0,0.0,2023-06-01 06:00:00
ORD,0,0.0,2023-06-01 06:00:00
PHL,0,0.0,2023-06-01 06:00:00
PHX,0,0.0,2023-06-01 06:00:00
SAN,0,0.0,2023-06-01 06:00:00
SEA,0,0.0,2023-06-01 06:00:00
SFO,0,0.0,2023-06-01 06:00:00
SLC,0,0.0,2023-06-01 06:00:00
TPA,0,0.0,2023-06-01 06:00:00
ATL,0,0.0,2023-06-01 07:00:00
AUS,0,0.0,2023-06-01 07:00:00
BNA,0,0.0,2023-06-01 07:00:00
BOS,0,0.0,2023-06-01 07:00:00
BWI,0,0.0,2023-06-01 07:00:00
CLT,0,0.0,2023-06-01 07:00:00
DCA,0,0.0,2023-06-01 07:00:00
DEN,0,0.0,2023-06-01 07:00:00
DFW,0,0.0,2023-06-01 07:00:00
DTW,0,0.0,2023-06-01 07:00:00
EWR,0,0.0,2023-06-01 07:00:00
FLL,0,0.0,2023-06-01 07:00:00
IAD,0,0.0,2023-06-01 07:00:00
IAH,0,0.0,2023-06-01 07:00:00
JFK,0,0.0,2023-06-01 07:00:00
LAS,0,0.0,2023-06-01 07:00:00
LAX,0,0.0,2023-06-01 07:00:00
LGA,0,0.0,2023-06-01 07:00:00
MCO,0,0.0,2023-06-01 07:00:00
MDW,0,0.0,2023-06-01 07:00:00
MIA,0,0.0,2023-06-01 07:00:00
MSP,0,0.0,2023-06-01 07:00:00
ORD,0,0.0,2023-06-01 07:00:00
PHL,0,0.0,2023-06-01 07:00:00
PHX,0,0.0,2023-06-01 07:00:00
SAN,0,0.0,2023-06-01 07:00:00
SEA,0,0.0,2023-06-01 07:00:00
SFO,0,0.0,2023-06-01 07:00:00
SLC,0,0.0,2023-06-01 07:00:00
TPA,0,0.0,2023-06-01 07:00:00
ATL,0.0,0.09229643521522331,2023-06-01 08:00:00
AUS,0.0,0.09246735987844408,2023-06-01 08:00:00
BNA,0.0,0.10818266462216036,2023-06-01 08:00:00
BOS,0.4065696597405991,0.16268950577437494,2023-06-01 08:00:00
BWI,0.0,0.10546455049526257,2023-06-01 08:00:00
CLT,0.0,0.10281961136111965,2023-06-01 08:00:00
DCA,0.0,0.10649134006730313,2023-06-01 08:00:00
DEN,0.0,0.07792554437333168,2023-06-01 08:00:00
DFW,0.0,0.09511896857119713,2023-06-01 08:00:00
DTW,0.0,0.10458419061564132,2023-06-01 08:00:00
EWR,0.0,0.1056191040108084,2023-06-01 08:00:00
FLL,0.4065696597405991,0.16182603345573615,2023-06-01 08:00:00
IAD,0.0,0.08565333134075306,2023-06-01 08:00:00
IAH,0.4065696597405991,0.15231109625280473,2023-06-01 08:00:00
JFK,0.0,0.10382063750214478,2023-06-01 08:00:00
LAS,0.0,0.059915204449374454,2023-06-01 08:00:00
LAX,0.0,0.039423211271763736,2023-06-01 08:00:00
LGA,0.0,0.10559215528893418,2023-06-01 08:00:00
MCO,1.0,0.2403701369075004,2023-06-01 08:00:00
MDW,0.0,0.09824719736480912,2023-06-01 08:00:00
MIA,0.0,0.09558805060823561,2023-06-01 08:00:00
MSP,0.0,0.09862762200633174,2023-06-01 08:00:00
ORD,0.4065696597405991,0.15253253682464735,2023-06-01 08:00:00
PHL,0.0,0.09940791555317402,2023-06-01 08:00:00
PHX,0.0,0.0,2023-06-01 08:00:00
SAN,0.0,0.0,2023-06-01 08:00:00
SEA,0.0,0.0,2023-06-01 08:00:00
SFO,0.0,0.0,2023-06-01 08:00:00
SLC,0.0,0.04937042997864723,2023-06-01 08:00:00
TPA,0.0,0.09221341811356368,2023-06-01 08:00:00
ATL,1.6262786389623964,0.4481950201342966,2023-06-01 09:00:00
AUS,0.0,0.20653968826058733,2023-06-01 09:00:00
BNA,0.4065696597405991,0.2706159884945614,2023-06-01 09:00:00
BOS,0.5718685479621857,0.30778462335834156,2023-06-01 09:00:00
BWI,0.0,0.23406924869148465,2023-06-01 09:00:00
CLT,0.0,0.21687665942734854,2023-06-01 09:00:00
DCA,0.0,0.24788774814743442,2023-06-01 09:00:00
DEN,0.0,0.18869847436303686,2023-06-01 09:00:00
DFW,0.0,0.20776284241718987,2023-06-01 09:00:00
DTW,0.0,0.22701240928138142,2023-06-01 09:00:00
EWR,0.0,0.22336498017757514,2023-06-01 09:00:00
FLL,0.9784382077027848,0.37102522442056246,2023-06-01 09:00:00
IAD,0.0,0.0,2023-06-01 09:00:00
IAH,0.16529888822158653,0.23667598268849913,2023-06-01 09:00:00
JFK,0.4065696597405991,0.298538791124076,2023-06-01 09:00:00
LAS,0.0,0.18189606551737403,2023-06-01 09:00:00
LAX,0.0,0.16360374857873558,2023-06-01 09:00:00
LGA,0.0,0.22474291360234355,2023-06-01 09:00:00
MCO,0.4065696597405991,0.28058805162707634,2023-06-01 09:00:00
MDW,0.0,0.21798181786557946,2023-06-01 09:00:00
MIA,0.4065696597405991,0.28688603386743405,2023-06-01 09:00:00
MSP,0.0,0.21070488986637687,2023-06-01 09:00:00
ORD,1.3850078674433839,0.4138927924349362,2023-06-01 09:00:00
PHL,0.0,0.24573320339213323,2023-06-01 09:00:00
PHX,0.0,0.16585820415829416,2023-06-01 09:00:00
SAN,0.0,0.15810073061845495,2023-06-01 09:00:00
SEA,0.0,0.1611133519139329,2023-06-01 09:00:00
SFO,0.0,0.14974206941834806,2023-06-01 09:00:00
SLC,0.0,0.14858186561597195,2023-06-01 09:00:00
TPA,0.0,0.21034502028518987,2023-06-01 09:00:00
ATL,0.6611955528863461,0.4381032593269118,2023-06-01 10:00:00
AUS,0.0,0.3302923673094361,2023-06-01 10:00:00
BNA,0.16529888822158653,0.35883036377470284,2023-06-01 10:00:00
BOS,0.6390740607019354,0.44320262166952856,2023-06-01 10:00:00
BWI,0.0,0.3436006506046469,2023-06-01 10:00:00
CLT,0.8131393194811982,0.45666822344327923,2023-06-01 10:00:00
DCA,0.0,0.3641494895979152,2023-06-01 10:00:00
DEN,0.0,0.30795040925215,2023-06-01 10:00:00
DFW,0.4065696597405991,0.3908461502414479,2023-06-01 10:00:00
DTW,0.8131393194811982,0.4519942466314374,2023-06-01 10:00:00
EWR,0.0,0.34313884488678065,2023-06-01 10:00:00
FLL,1.210942608664121,0.5276691265602522,2023-06-01 10:00:00
IAD,0.0,0.3454764127112332,2023-06-01 10:00:00
IAH,0.880344832220948,0.4621877624855594,2023-06-01 10:00:00
JFK,0.5718685479621857,0.4435359336514946,2023-06-01 10:00:00
LAS,0.0,0.2794669622676067,2023-06-01 10:00:00
LAX,0.0,0.299214878852398,2023-06-01 10:00:00
LGA,0.4065696597405991,0.41890810391577304,2023-06-01 10:00:00
MCO,0.5718685479621857,0.42292435642530046,2023-06-01 10:00:00
MDW,0.0,0.30054728302246064,2023-06-01 10:00:00
MIA,1.3850078674433837,0.5452868432073543,2023-06-01 10:00:00
MSP,0.0,0.34090943620899333,2023-06-01 10:00:00
ORD,0.5631021774045094,0.42638848912896027,2023-06-01 10:00:00
PHL,0.4065696597405991,0.42001237121999324,2023-06-01 10:00:00
PHX,0.0,0.28479828200908014,2023-06-01 10:00:00
SAN,0.0,0.26003599808725814,2023-06-01 10:00:00
SEA,0.0,0.28284977204243217,2023-06-01 10:00:00
SFO,0.0,0.2726178831678492,2023-06-01 10:00:00
SLC,0.0,0.27790440973819835,2023-06-01 10:00:00
TPA,0.4065696597405991,0.38581185330771306,2023-06-01 10:00:00
ATL,1.4885310301807961,0.7420452310072825,2023-06-01 11:00:00
AUS,0.0,0.5102381480214546,2023-06-01 11:00:00
BNA,0.06720551273974976,0.5410529068579465,2023-06-01 11:00:00
BOS,1.072967442889827,0.702326535507683,2023-06-01 11:00:00
BWI,0.4065696597405991,0.6381681797809915,2023-06-01 11:00:00
CLT,1.1437370959243713,0.6834174443361095,2023-06-01 11:00:00
DCA,0.0,0.5397870216413609,2023-06-01 11:00:00
DEN,0.8131393194811982,0.6274278581282176,2023-06-01 11:00:00
DFW,0.9784382077027848,0.6562313248323508,2023-06-01 11:00:00
DTW,0.7371674361837722,0.6166687677811326,2023-06-01 11:00:00
EWR,0.0,0.5465487654147863,2023-06-01 11:00:00
FLL,3.338320142554159,1.0120746889575782,2023-06-01 11:00:00
IAD,0.0,0.5361816947553412,2023-06-01 11:00:00
IAH,0.7644911586310646,0.6234148333359989,2023-06-01 11:00:00
JFK,0.2325044009613363,0.5917337179112542,2023-06-01 11:00:00
LAS,1.2197089792217972,0.6666781406032909,2023-06-01 11:00:00
LAX,0.0,0.5028870211288262,2023-06-01 11:00:00
