,ATL,AUS,BNA,BOS,BWI,CLT,DCA,DEN,DFW,DTW,EWR,FLL,IAD,IAH,JFK,LAS,LAX,LGA,MCO,MDW,MIA,MSP,ORD,PHL,PHX,SAN,SEA,SFO,SLC,TPA
in_degree,29.0,28.0,29.0,29.0,24.0,29.0,26.0,29.0,29.0,29.0,25.0,28.0,26.0,29.0,25.0,28.0,28.0,18.0,28.0,26.0,28.0,29.0,28.0,25.0,28.0,26.0,28.0,28.0,29.0,27.0
out_degree,29.0,28.0,29.0,29.0,24.0,29.0,26.0,29.0,29.0,29.0,25.0,28.0,26.0,29.0,25.0,28.0,28.0,18.0,28.0,26.0,28.0,29.0,28.0,25.0,28.0,26.0,28.0,28.0,29.0,27.0
weighted_in_degree,12966.0,5543.0,5986.0,8473.0,4526.0,7483.0,5581.0,11586.0,9903.0,6484.0,6591.0,4838.0,3636.0,7160.0,6244.0,8626.0,11161.0,6407.0,8601.0,4198.0,6137.0,5929.0,10960.0,5399.0,7641.0,5344.0,7952.0,8077.0,5204.0,4659.0
weighted_out_degree,12974.0,5577.0,6012.0,8465.0,4510.0,7486.0,5592.0,11511.0,9924.0,6498.0,6549.0,4840.0,3638.0,7154.0,6181.0,8710.0,11206.0,6357.0,8564.0,4175.0,6121.0,5947.0,10902.0,5401.0,7660.0,5363.0,7981.0,8099.0,5229.0,4669.0
betweenness_centrality,0.003083512588287511,0.0015199561312219268,0.003083512588287511,0.003083512588287511,0.00047507272876731006,0.003083512588287511,0.001944569073032153,0.003083512588287511,0.003083512588287511,0.003083512588287511,0.0005814893007011233,0.002995546367316364,0.0019450572743096655,0.003083512588287511,0.0006885786131877373,0.0015199561312219268,0.0015199561312219268,0.00037244547096763853,0.002893766191644563,0.0021720805596934763,0.002995546367316364,0.003083512588287511,0.002783525219334626,0.0005776999865669816,0.0015199561312219268,0.0010219709968050082,0.0015199561312219268,0.0015199561312219268,0.003083512588287511,0.002637198047145384
closeness_centrality,1.0,0.9666666666666667,1.0,1.0,0.8529411764705882,1.0,0.90625,1.0,1.0,1.0,0.8787878787878788,0.9666666666666667,0.90625,1.0,0.8787878787878788,0.9666666666666667,0.9666666666666667,0.725,0.9666666666666667,0.90625,0.9666666666666667,1.0,0.9666666666666667,0.8787878787878788,0.9666666666666667,0.90625,0.9666666666666667,0.9666666666666667,1.0,0.9354838709677419
in_degree_centrality,1.0,0.9655172413793103,1.0,1.0,0.8275862068965517,1.0,0.896551724137931,1.0,1.0,1.0,0.8620689655172413,0.9655172413793103,0.896551724137931,1.0,0.8620689655172413,0.9655172413793103,0.9655172413793103,0.6206896551724138,0.9655172413793103,0.896551724137931,0.9655172413793103,1.0,0.9655172413793103,0.8620689655172413,0.9655172413793103,0.896551724137931,0.9655172413793103,0.9655172413793103,1.0,0.9310344827586207
out_degree_centrality,1.0,0.9655172413793103,1.0,1.0,0.8275862068965517,1.0,0.896551724137931,1.0,1.0,1.0,0.8620689655172413,0.9655172413793103,0.896551724137931,1.0,0.8620689655172413,0.9655172413793103,0.9655172413793103,0.6206896551724138,0.9655172413793103,0.896551724137931,0.9655172413793103,1.0,0.9655172413793103,0.8620689655172413,0.9655172413793103,0.896551724137931,0.9655172413793103,0.9655172413793103,1.0,0.9310344827586207
